AoA,Velocity,Cl,Cd
-0.5,31,0.16451,0.00899
-0.5,32,0.16468,0.00895
-0.5,33,0.16481,0.00891
-0.5,34,0.16498,0.00888
-0.5,35,0.16509,0.00884
-0.5,36,0.16512,0.00879
-0.5,37,0.16535,0.00877
-0.5,38,0.16546,0.00873
-0.5,39,0.16558,0.0087
-0.5,40,0.16569,0.00867
-0.5,41,0.16579,0.00864
-0.5,42,0.16591,0.00861
-0.5,43,0.16602,0.00859
-0.5,44,0.16612,0.00856
-0.5,45,0.16621,0.00853
-1,31,0.11008,0.00896
-1,32,0.1102,0.00892
-1,33,0.11032,0.00888
-1,34,0.11042,0.00884
-1,35,0.11054,0.0088
-1,36,0.11063,0.00876
-1,37,0.11076,0.00873
-1,38,0.11083,0.00869
-1,39,0.11092,0.00866
-1,40,0.11102,0.00863
-1,41,0.11109,0.00859
-1,42,0.1112,0.00857
-1,43,0.11127,0.00853
-1,44,0.11134,0.0085
-1,45,0.11142,0.00848
-1.5,31,0.05546,0.00896
-1.5,32,0.05556,0.00891
-1.5,33,0.05564,0.00887
-1.5,34,0.05574,0.00883
-1.5,35,0.05583,0.00879
-1.5,36,0.05592,0.00875
-1.5,37,0.05603,0.00872
-1.5,38,0.05609,0.00868
-1.5,39,0.05617,0.00865
-1.5,40,0.05625,0.00862
-1.5,41,0.05633,0.00858
-1.5,42,0.0564,0.00855
-1.5,43,0.05647,0.00854
-1.5,44,0.05654,0.00849
-1.5,45,0.05662,0.00847
-2,31,0.00081,0.00899
-2,32,0.00088,0.00895
-2,33,0.00096,0.0089
-2,34,0.00104,0.00886
-2,35,0.00112,0.00883
-2,36,0.00119,0.00879
-2,37,0.00125,0.00875
-2,38,0.00132,0.00871
-2,39,0.00138,0.00868
-2,40,0.00145,0.00864
-2,41,0.00151,0.00861
-2,42,0.00157,0.00858
-2,43,0.00164,0.00856
-2,44,0.00169,0.00852
-2,45,0.00175,0.00849
-2.5,31,-0.05374,0.00907
-2.5,32,-0.05367,0.00903
-2.5,33,-0.05361,0.00898
-2.5,34,-0.05355,0.00894
-2.5,35,-0.05348,0.0089
-2.5,36,-0.05341,0.00887
-2.5,37,-0.05336,0.00883
-2.5,38,-0.0533,0.00879
-2.5,39,-0.05324,0.00876
-2.5,40,-0.05319,0.00873
-2.5,41,-0.05313,0.00869
-2.5,42,-0.05308,0.00866
-2.5,43,-0.05302,0.00863
-2.5,44,-0.05297,0.0086
-2.5,45,-0.05291,0.00857
-3,31,-0.10861,0.00918
-3,32,-0.10857,0.00913
-3,33,-0.10853,0.00909
-3,34,-0.10849,0.00905
-3,35,-0.10845,0.00901
-3,36,-0.10841,0.00897
-3,37,-0.10837,0.00893
-3,38,-0.10834,0.0089
-3,39,-0.1083,0.00886
-3,40,-0.10827,0.00883
-3,41,-0.10823,0.00879
-3,42,-0.10819,0.00876
-3,43,-0.10817,0.00873
-3,44,-0.10814,0.0087
-3,45,-0.10811,0.00867
-3.5,31,-0.16311,0.00937
-3.5,32,-0.16309,0.00931
-3.5,33,-0.16307,0.00927
-3.5,34,-0.16305,0.00922
-3.5,35,-0.16303,0.00918
